Job Title,Salary Estimate,Salary Estimate min,Salary Estimate max,Rating,Company Name,City,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
Research Scientist - Patient-Centered Research (Remote),$56K-$97K (Glassdoor est.),56000.0,97000.0,3.8,Evidera,Bethesda, MD,"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Jr. Business Data Analyst (position added 6/12/2020),$56K-$97K (Glassdoor est.),56000.0,97000.0,4.7,webfx.com,Harrisburg, PA,"Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD)
Sr. Data Scientist II,$56K-$97K (Glassdoor est.),56000.0,97000.0,3.5,Argo Group US,New York, NY,"Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Data Scientist,$56K-$97K (Glassdoor est.),56000.0,97000.0,3.3,BWX Technologies,Oak Ridge, TN,"Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Senior Data Analyst,$56K-$97K (Glassdoor est.),56000.0,97000.0,3.9,Life360,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Lead Data Scientist,$56K-$97K (Glassdoor est.),56000.0,97000.0,3.7,MassMutual,Boston, MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Production Engineer - Statistics/Data Analysis,$56K-$97K (Glassdoor est.),56000.0,97000.0,3.9,Natera,San Carlos, CA,"San Carlos, CA",501 to 1000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Statistical Scientist,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.0,Genentech,South San Francisco, CA,"South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Computational Behavioral Scientist,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.2,Ntrepid,Herndon, VA,"Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Principal Data Scientist - Machine Learning,$56K-$97K (Glassdoor est.),56000.0,97000.0,3.6,Constant Contact,Waltham, MA,"Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Principal Machine Learning Scientist,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.7,Sage Intacct,San Francisco, CA,"San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Engineer,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.1,Shape Security,Santa Clara, CA,"Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Principal Data Scientist,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.0,AstraZeneca,Gaithersburg, MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Senior Data Scientist - R&D Oncology,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.0,AstraZeneca,New York, NY,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
"Health Plan Data Analyst, Sr",$56K-$97K (Glassdoor est.),56000.0,97000.0,3.8,Cook Children's Health Care System,Fort Worth, TX,"Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$56K-$97K (Glassdoor est.),56000.0,97000.0,3.8,Rubius Therapeutics,Smithfield, RI,"Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Analytics - Business Assurance Data Analyst,$56K-$97K (Glassdoor est.),56000.0,97000.0,4.6,GreatAmerica Financial Services,Cedar Rapids, IA,"Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD)
Data Scientist - Contract,$79K-$106K (Glassdoor est.),79000.0,106000.0,4.1,Upside Business Travel,Remote, DC,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.4,Spectrum Communications and Consulting,Chicago, IL,"Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Data Scientist,$79K-$106K (Glassdoor est.),79000.0,106000.0,4.1,Coverent,McLean, VA,"McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Machine Learning Engineer,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.7,Mteq,Fort Belvoir, VA,"Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
Data Engineer,$79K-$106K (Glassdoor est.),79000.0,106000.0,4.4,Rocket Lawyer,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79K-$106K (Glassdoor est.),79000.0,106000.0,3.9,Novartis,Cambridge, MA,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Engineer,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.6,Alion Science & Technology,Linthicum Heights, MD,"Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD)
Data Science Instructor,$79K-$106K (Glassdoor est.),79000.0,106000.0,4.5,Novetta,Herndon, VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Senior Business Intelligence Analyst,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.7,Protolabs,Maple Plain, MN,"Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD)
In-Line Inspection Data Analyst,$79K-$106K (Glassdoor est.),79000.0,106000.0,2.9,Quest Integrity,Tulsa, OK,"Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
Data Scientist - TS/SCI FSP or CI Required,$79K-$106K (Glassdoor est.),79000.0,106000.0,5.0,Phoenix Operations Group,Annapolis Junction, MD,"Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Scientist,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.4,Dice.com,Newton, MA,"Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Scientist - TS/SCI Required,$79K-$106K (Glassdoor est.),79000.0,106000.0,5.0,Phoenix Operations Group,Baltimore, MD,"Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Science Software Engineer,$79K-$106K (Glassdoor est.),79000.0,106000.0,4.8,Klaviyo,Boston, MA,"Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.9,Southwest Research Institute,Oklahoma City, OK,"San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD)
AI Ops Data Scientist,$79K-$106K (Glassdoor est.),79000.0,106000.0,4.0,AstraZeneca,Gaithersburg, MD,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
"Intelligence Data Analyst, Senior",$79K-$106K (Glassdoor est.),79000.0,106000.0,4.3,The Buffalo Group,Fort Belvoir, VA,"Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Analytics Manager - Data Mart,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.5,Central California Alliance for Health,Scotts Valley, CA,"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Modeler (Analytical Systems),$79K-$106K (Glassdoor est.),79000.0,106000.0,3.7,MassMutual,Boston, MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
"Senior Machine Learning Scientist - Bay Area, CA",$79K-$106K (Glassdoor est.),79000.0,106000.0,3.3,Tempus Labs,Redwood City, CA,"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Report Writer-Data Analyst,$79K-$106K (Glassdoor est.),79000.0,106000.0,3.1,Security Finance Corporation of Spartanburg,Spartanburg, SC,"Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist/Machine Learning,$71K-$123K (Glassdoor est.),71000.0,123000.0,4.3,PulsePoint,New York, NY,"New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
Data Scientist - Risk,$71K-$123K (Glassdoor est.),71000.0,123000.0,4.2,LSQ,Orlando, FL,"Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Data Engineer,$71K-$123K (Glassdoor est.),71000.0,123000.0,4.4,Resurgent Capital Services,Cincinnati, OH,"Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD)
Staff Data Scientist - Pricing,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.6,Opendoor,San Francisco, CA,"San Francisco, CA",501 to 1000 employees,2014,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD)
Data Scientist,$71K-$123K (Glassdoor est.),71000.0,123000.0,4.5,Global Data Management Inc,Hartford, CT,"Woodbridge, NJ",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Data Scientist,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.0,Photon Infotech,Chicago, IL,"Chennai, India",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Data Scientist,$71K-$123K (Glassdoor est.),71000.0,123000.0,5.0,REE,Remote, Israel,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
Machine Learning Engineer,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.6,Riverside Research Institute,Beavercreek, OH,"Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD)
Equity Data Insights Analyst - Quantitative Analyst,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.6,T. Rowe Price,Baltimore, MD,"Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
Research Scientist - Patient-Centered Research (Remote),$71K-$123K (Glassdoor est.),71000.0,123000.0,3.8,Evidera,Bethesda, MD,"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Data Scientist,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.3,BWX Technologies,Oak Ridge, TN,"Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Operations Data Analyst,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.8,Brighthouse Financial,Charlotte, NC,"Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable
Sr. Data Scientist II,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.5,Argo Group US,New York, NY,"Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Data Scientist,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.3,II-VI Incorporated,Champaign, IL,"Saxonburg, PA",10000+ employees,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD)
Data Scientist,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.8,PayPal,Remote, CA,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Data Analyst,$71K-$123K (Glassdoor est.),71000.0,123000.0,3.9,Life360,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,4.7,Oversight Systems,Atlanta, GA,"Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Senior Research Statistician- Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,4.8,Acuity Insurance,Sheboygan, WI,"Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Software Data Engineer,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.1,1010data,New York, NY,"New York, NY",201 to 500 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.6,Gigya,Palo Alto, CA,"Mountain View, CA",201 to 500 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Real World Evidence (RWE) Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,5.0,Genesis Research,Hoboken, NJ,"Hoboken, NJ",1 to 50 employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.7,Sanofi,Cambridge, MA,"Paris, France",10000+ employees,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.7,XPO Logistics,Lebanon, IN,"Greenwich, CT",10000+ employees,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD)
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.9,Trace Data,Oakland, CA,"Santa Ana, CA",51 to 200 employees,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD)
Computer Scientist 1,$90K-$124K (Glassdoor est.),90000.0,124000.0,4.2,Rincon Research Corporation,Melbourne, FL,"Tucson, AZ",201 to 500 employees,1983,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Lead Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.7,MassMutual,Boston, MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.3,Parker Hannifin,Cleveland, OH,"Cleveland, OH",10000+ employees,1917,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,4.1,Gallup,New York, NY,"Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.3,Insider Inc,New York, NY,"New York, NY",201 to 500 employees,2007,Company - Private,News Outlet,Media,$50 to $100 million (USD)
Data Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.9,Rapid Value Solutions,San Francisco, CA,"Pleasanton, CA",201 to 500 employees,2009,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Environmental Data Science,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.1,Battelle,Norwell, MA,"Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD)
Computational Behavioral Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,4.2,Ntrepid,Herndon, VA,"Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Staff BI and Data Engineer,$90K-$124K (Glassdoor est.),90000.0,124000.0,2.9,Affinity Solutions,San Jose, CA,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Principal Machine Learning Scientist,$90K-$124K (Glassdoor est.),90000.0,124000.0,4.7,Sage Intacct,San Francisco, CA,"San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Principal Data Scientist - Machine Learning,$90K-$124K (Glassdoor est.),90000.0,124000.0,3.6,Constant Contact,Waltham, MA,"Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist-Human Resources,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.8,MIT Lincoln Laboratory,Lexington, MA,"Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Associate Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.3,Puget Sound Energy,Bothell, WA,"Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD)
"Data Scientist - Statistics, Mid-Career",$91K-$150K (Glassdoor est.),91000.0,150000.0,3.7,Pacific Northwest National Laboratory,Richland, WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
Director of Data Science,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.8,Analysis Group,Boston, MA,"Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.2,US Pharmacopeia,Rockville, MD,"Rockville, MD",1001 to 5000 employees,1820,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,4.6,Itlize Global,Piscataway, NJ,"Piscataway, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.5,eBay,San Jose, CA,"San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Engineer, Digital & Comp Pathology",$91K-$150K (Glassdoor est.),91000.0,150000.0,5.0,Paige,New York, NY,"New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,$91K-$150K (Glassdoor est.),91000.0,150000.0,4.1,Shape Security,Santa Clara, CA,"Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Manager / Lead, Data Science & Analytics",$91K-$150K (Glassdoor est.),91000.0,150000.0,4.1,ABIOMED,Danvers, MA,"Danvers, MA",1001 to 5000 employees,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.5,Comcast,New York, NY,"Philadelphia, PA",10000+ employees,1963,Company - Public,Unknown,Unknown,$10+ billion (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.2,"Metronome, LLC",Vienna, VA,"Fairfax, VA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,4.7,Lawrence Livermore National Lab,Livermore, CA,"Livermore, CA",1001 to 5000 employees,1952,Government,Federal Agencies,Government,$1 to $2 billion (USD)
Diversity and Inclusion Data Analyst,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.8,FHLBank Pittsburgh,Pittsburgh, PA,"Pittsburgh, PA",201 to 500 employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.6,Jacobs,Herndon, VA,"Dallas, TX",10000+ employees,1947,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,4.8,Klaviyo,Boston, MA,"Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.3,Underwriters Laboratories,Northbrook, IL,"Northbrook, IL",10000+ employees,1894,Company - Private,Consulting,Business Services,$2 to $5 billion (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,3.7,Altus Group,Irvine, CA,"Toronto, Canada",1001 to 5000 employees,2005,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD)
Data Scientist,$91K-$150K (Glassdoor est.),91000.0,150000.0,5.0,Jobot,Irvine, CA,"Irvine, CA",51 to 200 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Senior Analyst/Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.4,Edmunds.com,Santa Monica, CA,"Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,5.0,Cohere Health,Boston, MA,"Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Senior Data Scientist - R&D Oncology,$141K-$225K (Glassdoor est.),141000.0,225000.0,4.0,AstraZeneca,New York, NY,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,4.2,Oshkosh Corporation,Oshkosh, WI,"Oshkosh, WI",10000+ employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.4,Mackin,Menlo Park, CA,"Pittsburgh, PA",51 to 200 employees,1960,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,4.4,VBeyond Corporation,Dallas, TX,"Hillsborough, NJ",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Data Scientist Machine Learning,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.5,Leidos,Arlington, VA,"Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.7,Take-Two,San Francisco, CA,"New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.4,SleePare,New York, NY,"New York, NY",1 to 50 employees,2017,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable
Data Analyst,$141K-$225K (Glassdoor est.),141000.0,225000.0,4.5,ShorePoint,Reston, VA,"Washington, DC",1 to 50 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.5,Dolphin,New York, NY,"Lake Buena Vista, FL",1001 to 5000 employees,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.6,TE Connectivity,Hampton, VA,"Schaffhausen, Switzerland",10000+ employees,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.2,State of Virginia,Richmond, VA,"Richmond, VA",10000+ employees,1788,Government,State & Regional Agencies,Government,$10+ billion (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,3.7,TA Digital,New York, NY,"Newark, CA",501 to 1000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Data Scientist,$141K-$225K (Glassdoor est.),141000.0,225000.0,4.0,Market America Inc,Monterey, CA,"Greensboro, NC",501 to 1000 employees,1992,Company - Private,Other Retail Stores,Retail,$100 to $500 million (USD)
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.2,Triplebyte,Chicago, IL,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,4.5,Kingfisher Systems,McLean, VA,"Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD)
Chief Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.4,TrueAccord,Remote, CA,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.9,ALTA IT Services,Woodlawn, MD,"Rockville, MD",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.4,ASRC Federal Holding Company,Reston, VA,"Beltsville, MD",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,4.4,Adwait Algorithm,New York, NY,"Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Health Plan Data Analyst, Sr",$145K-$225K(Employer est.),145000.0,225000.0,3.8,Cook Children's Health Care System,Fort Worth, TX,"Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$145K-$225K(Employer est.),145000.0,225000.0,3.8,Rubius Therapeutics,Smithfield, RI,"Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.5,Cambridge FX,Atlanta, GA,"Toronto, Canada",201 to 500 employees,1992,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million (USD)
Senior Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.8,Metromile,San Francisco, CA,"San Francisco, CA",201 to 500 employees,2011,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Scientist,$145K-$225K(Employer est.),145000.0,225000.0,3.9,Criteo,Ann Arbor, MI,"Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
